title,genre,description,year,rating
The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.",1994,9.3
The Godfather,Crime,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",1972,9.2
The Dark Knight,Action,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests.",2008,9.0
Pulp Fiction,Crime,"The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.",1994,8.9
Schindler's List,Drama,"In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution.",1993,8.9
Forrest Gump,Drama,"The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.",1994,8.8
Inception,Sci-Fi,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",2010,8.7
Fight Club,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much much more.",1999,8.7
The Matrix,Sci-Fi,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",1999,8.7
Goodfellas,Crime,"The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.",1990,8.7
The Lord of the Rings: The Fellowship of the Ring,Fantasy,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",2001,8.8
Star Wars,Sci-Fi,"Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station.",1977,8.6
Casablanca,Romance,"A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco during World War II.",1942,8.5
Citizen Kane,Drama,"Following the death of publishing tycoon Charles Foster Kane reporters scramble to uncover the meaning of his final utterance.",1941,8.3
The Silence of the Lambs,Thriller,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.",1991,8.6
Saving Private Ryan,War,"Following the Normandy Landings a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998,8.6
Interstellar,Sci-Fi,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",2014,8.6
Avatar,Sci-Fi,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",2009,7.8
Titanic,Romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.",1997,7.8
Avengers: Endgame,Action,"After the devastating events of Avengers: Infinity War the universe is in ruins. The remaining Avengers assemble once more to reverse Thanos' actions.",2019,8.4
Toy Story,Animation,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.",1995,8.3
The Lion King,Animation,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair.",1994,8.5
Finding Nemo,Animation,"After his son is captured in the Great Barrier Reef and taken to Sydney a timid clownfish sets out on a journey to bring him home.",2003,8.2
Spirited Away,Animation,"During her family's move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits.",2001,9.2
Wall-E,Animation,"In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008,8.4
Up,Animation,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons inadvertently taking a young stowaway.",2009,8.2
Frozen,Animation,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter her sister Anna teams up with a mountain man.",2013,7.4
The Incredibles,Animation,"A family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world.",2004,8.0
Moana,Animation,"In Ancient Polynesia when a terrible curse incurred by the Demigod Maui reaches Moana's island she answers the Ocean's call to seek out the Demigod to set things right.",2016,7.6
Coco,Animation,"Aspiring musician Miguel confronted with his family's ancestral ban on music enters the Land of the Dead to find his great-great-grandfather a legendary singer.",2017,8.4
